group;question;answer;answer_type;document_id;sentence_with_answer
anwki;Who began their musical career as organist of Salford Cathedral?;Leslie Stuart;HUM:ind;50435;Lancashire also produced more populist figures, such as early musical theatre composer Leslie Stuart (1863–1928), born in Southport, who began his musical career as organist of Salford Cathedral.
HSRM-Watson;Where did Henry_Knighton die?;England;LOC:country;35219146;Henry Knighton (or Knyghton) (died c. 1396, in England) was an Augustinian canon at the abbey of St Mary of the Meadows, Leicester, England, and an ecclesiastical historian (chronicler).
schebanek;How many runestones are there in Denmark?;250;NUM:count;482589;The runestones are unevenly distributed in Scandinavia: Denmark has 250 runestones, Norway has 50 while Iceland has none.
hallou-schmidt;Where did Klaas Afrikaner sail?;South-West Africa;LOC:other;27932385;Klaas Afrikaner (Nama name: Garuhamab, born before 1760, died after 1800) was the second Captain of the Orlam Afrikaners, first in the Cape Colony, then in South-West Africa.
anwki;What kind of group is USA Freedom kids?;dancing girl group;HUM:ind;51553422;"""USA Freedom Kids, sometimes referred to as USA Freedom Girls, is a dancing girl group, known for performing to their song """"Freedom's Call"""" at a Donald Trump rally in Pensacola, Florida, in January 2016 during his presidential campaign."""
anwki;What is the capital of Texas?;Austin;LOC:city;1998;Austin (/ˈɒstᵻn, ˈɔː-/) is the capital of the U.S. state of Texas and the seat of Travis County. It is the 11th-most populated city in the U.S.
Suphawit-Noah;Who wrote The Brass Check;Upton Sinclair Jr.;HUM:ind;95477;In 1919, he published The Brass Check, a muckraking expos\u00e9 of American journalism that publicized the issue of yellow journalism and the limitations of the \u201cfree press\u201d in the United States.
anwki;Where does the thais of athens become an initiate?;temple of Ashtoreth;LOC:other;2477267;She then travels to Sparta and Crete with the Macedonians,visits Egypt and Mesopotamia,where she become an initiate in the temple of Ashtoreth (Astarte) and eventually follows Alexander to Persepolis,which she requestss be set on fire.
Shallow_Learning;Who was the son of King Saul?;Jonathan;HUM:ind;23110064;Zelah was a place in the territory of the Tribe of Benjamin, ancient Judea, known as the burial place of King Saul, his father Kish and his son Jonathan.
anwki;Who wrote Behind the Rising Sun?;Sebastian Okechukwu Mezu;HUM:ind;49948841;Behind the Rising Sun is a 1971 war novel by Nigerian novelist and politician Sebastian Okechukwu Mezu.
anwki;Along with Free Vietnam, what was another term for South Vietnam?;Republic of Vietnam;LOC:country;8182;After Diem announced the formation of the Republic of Vietnam (RVN, commonly known as South Vietnam) in October, Eisenhower immediately recognized the new state and offered military, economic, and technical assistance.
heyne-candir;What kind of region is Osterland?;a historical region;LOC:other;7848417;Osterland (terra orientalis) is a historical region in Germany.
klemenstomki;Where is the National Flood Forum?;Bewdley;LOC:city;20092803;The National Flood Forum is a British charity in Bewdley
anwki;When was the first Apple Chill Festival?;1972;NUM:date;14654027;he festival began in 1972 in Chapel Hill, where the name is a Spoonerism.
anwki;What is the average salinity of the Red Sea?;40 ‰;NUM:count;26191;The average salinity is 40 ‰.
anwki;What is the 19th novel of the Marcus Didius Falco series?;Alexandria;ENTY:cremat;21082701;Alexandria is a 2009 historical mystery crime novel by Lindsey Davis and the 19th book in her Marcus Didius Falco series.
anwki;How many sons had Ahimaaz?;2;NUM:count;5854122;Ahimaaz had two sons, Paltiel and Samuel.
HSRM-Watson;How tall is the lighthouse on the Chicken Rock?;44 meters;NUM:count;2518010;The 44 metres (144 ft) lighthouse was first lit in 1875, and is owned and maintained by the Northern Lighthouse Board.
anwki;Who was the project initiator for the Beatles-Platz?;Oldie 95;HUM:gr;17622380;The project's initiator was Hamburg radio station Oldie 95
Shallow_Learning;When did the second Five-Year Plan of the Soviet Union begin?;January 1, 1933;NUM:date;33873732;The following events occurred in January 1933: January 1, 1933 (Sunday). The Soviet Union began its second Five-Year Plan with the goal of more than doubling the gross national product, from 43 billion rubles to 93 billion, by December 31, 1937.
anwki;Who created the Sambal-Lei Sekpil?;Moirangthem Okendra Kumbi;HUM:ind;2321000;Created by Moirangthem Okendra Kumbi, it is modelled in the shape of a series of open umbrellas and spheres.
anwki;Where do brent geese migrate to?;the Wadden Sea;LOC:other;201943;Detours avoiding such barriers are observed: for example, brent geese Branta bernicla migrating from the Taymyr Peninsula to the Wadden Sea travel via the White Sea coast and the Baltic Sea rather than directly across the Arctic Ocean and northern Scandinavia.
TheRiddle;How big is the area of the Kulm Municipal Airport?;22 acres (8.9 ha);NUM:count;26414845;The airport covers an area of 22 acres (8.9 ha) at an elevation of 1,959 feet (597 m) above mean sea level
hallou-schmidt;How many administrative districts does bankok have ;50;NUM:count;6614929;Bangkok is divided into 50 administrative districts.
anwki;Who performs better in school: sexually experienced or inexperienced teen females?;inexperienced;ENTY:other;83859;"""Those who have had such experiences tend to perform not as well in school as their """"inexperienced"""" peers."""
anwki;What was the name under scholarly publications of Chopin's work form 1937 to 1966?;Paderewski;ENTY:cremat;10823;"""Among modern scholarly editions of Chopin's works are the version under the name of Paderewski published between 1937 and 1966 and the more recent Polish """"National Edition"""", edited by Jan Ekier, both of which contain detailed explanations and discussions regarding choices and sources."""
heyne-candir;What is science studies?;interdisciplinary area;ENTY:other;358601;Science studies is an interdisciplinary research area that seeks to situate scientific expertise in broad social, historical, and philosophical contexts.
linear_aggression;What is the population of Kakaydi?;6500;NUM:count;50193698;The town population in 2002 year was 6500 people.
mi-ler;How many clients does Sundog roughly have?;75;NUM:count;35659610;The company provides services related to marketing and technology to its roughly 75 clients.
anwki;Where does Nairai belong to?;Lomaiviti Archipelago;LOC:other;7020731;Nairai is an island of Fiji belonging to the Lomaiviti Archipelago.
hallou-schmidt;When was the Operation Golden Pheasant?;1988;NUM:date;252169;Operation Golden Pheasant was an emergency deployment of U.S. troops to Honduras in 1988, in response to Nicaraguan attacks on Contra logistics in Honduras.
anwki;What country is 'Rathowen' in?;Ireland;LOC:country;10800806;"""Rathowen (Irish: Ráth Eoghain, meaning """"Eoghan's Ringfort"""") is a small village in County Westmeath, Ireland, on the N4 national primary route."""
klemenstomki;When was the Chilean Constitution of 1833 replaced?;1925;NUM:date;28542392;The Constitution of 1833 was the constitution used in Chile from 1833 to 1925 when it was replaced by the Constitution of 1925.
anwki;Wow deep is the Mediterranean Sea?;5,267 m;NUM:count;19006;The Mediterranean Sea has an average depth of 1,500 m (4,900 ft) and the deepest recorded point is 5,267 m (17,280 ft) in the Calypso Deep in the Ionian Sea.
anwki;What is The Irish Political Review?;magazine;ENTY:other;43133599;The Irish Political Review is a monthly Irish magazine dedicated to Irish politics and history.
anwki;How much of Iran's 33k megawatt installed capacity was based on oil? ;18%;NUM:count;14653;Of that amount, about 75% was based on natural gas, 18% on oil, and 7% on hydroelectric power.
anwki;Who ruled most of India in the 18 century?;Mughal Empire;LOC:country;885795;On the Indian subcontinent, the Mughal Empire ruled most of India in the early 18th century.
mi-ler;When was the General Assembly of Aberdeen held?;1605;NUM:date;44184539;The disastrous General Assembly of Aberdeen was held in 1605.
pfeifer-lutz;What is the name of a Canadian historian and author who was born on January 3, 1948?;Charlotte Gray;HUM:ind;5109014;Charlotte Gray, CM (born January 3, 1948) is a British born Canadian historian and author.
anwki;When did Spaceballs: The Animated Series air?;2008;NUM:date;11865766;Spaceballs: The Animated Series, also known as Spaceballs: The Series, is an animated television series that premiered in 2008 on G4 and Canada's Super Channel, and is loosely based on the parody science fiction film Spaceballs.
anwki;What is the capital of Zambia?;Lusaka;LOC:other;34415;The capital is Lusaka in the south-central part of Zambia.
anwki;How many members does the American Astronomical Society consists of?;7000;NUM:count;580; The American Astronomical Society  which is the major organization of professional astronomers in North America  has approximately 7 000 members
TheRiddle;What are the main ingredients in Assyrian cuisine?;grains, meat, tomatos and potatos;ENTY:food;3178869;It is rich in grains, meat, tomato, and potato.
anwki;In which year Dorothy Margaret Harley Eber was born?;1925;NUM:date;29742193;Dorothy Margaret Harley Eber, CM (born 1925) is a Canadian author and one of the first people to transcribe and publish oral histories of Inuit people in Nunavut in both English and Inuktitut.
anwki;What does RLG stand for?; Ring Laser Gyroscope;ENTY:other;302790;A ring laser gyroscope (RLG) consists of a ring laser havingt two independent counter-propagating resonant modes over the same path.
anwki;When was Michael Chappell born?;14 September 1934;HUM:ind;14937543;Michael John William Chappell BEM (born 14 September 1934)
anwki;What was the first weekday in year 1738 of the Gregorian calendar?;Wednesday;ENTY:other;35847;1738 (MDCCXXXVIII) was a common year starting on Wednesday (dominical letter E) of the Gregorian calendar and a common year starting on Sunday (dominical letter A) of the Julian calendar, the 1738th year of the Common Era (CE) and Anno Domini (AD) designations, the 738th year of the 2nd millennium, the 38th year of the 18th century, and the 9th year of the 1730s decade.
anwki;Which blogger calling for demonstrations was arrested for tax evasion?;Điếu Cày;HUM:ind;16932722;A Vietnamese American was deported for planning protests against the torch, while a prominent blogger, Điếu Cày (real name Nguyễn Văn Hải), who blogged about protests around the world and who called for demonstrations in Vietnam, was arrested on charges of tax evasion.
anwki;By who was Cuba inhabitated?;by various Mesoamerican cultures;HUM:gr;5584;The island of Cuba was inhabited by various Mesoamerican cultures prior to the arrival of the Italian explorer Christopher Columbus in 1492.
anwki;In which country is the town Puerto El Carmen de Putumayo located at?;Ecuador;LOC:country;2026410;Puerto El Carmen de Putumayo is a town in the province of Sucumb�os in Ecuador.
anwki;Who wrote the book A Ramble Round the Globe?;Thomas Dewar;HUM:ind;11785041;A Ramble Round the Globe is an 1894 book by Thomas Dewar detailing his journey around the world publicizing Dewars Scotch Whisky.
klemenstomki;Where is the Place Saint-Lambert?;Belgium;LOC:country;34062670;The Place Saint-Lambert is a square in the centre of Liège, Belgium.
anwki;What is the oldest and largest Croatian organization in North America?;Croatian Fraternal Union;HUM:gr;1483020;The Croatian Fraternal Union (Croatian: Hrvatska bratska zajednica) (CFU), the oldest and largest Croatian organization in North America, is a fraternal benefit society of the Croatian diaspora based out of Pittsburgh, Pennsylvania, US.
anwki;How cold is it at the Mesosphere?;around -85 degree C;NUM:count;202898;It is the coldest place on Earth and has an average temperature around −85  degree C (−120 degree F).
TheRiddle;How high is the Stanford Plateau?;over 3,000 m high;NUM:count;29621681;Stanford Plateau is an icecapped plateau, over 3,000 m high and 15 nautical miles (28 km) wide, between the heads of Leverett and Kansas Glaciers.
anwki;How many Warriors did Hales led?;30,000;NUM:count;29160569;In 376 BC, he led the Triballian army of 30,000 warriors and crossed Mount Haemus and the Sofia plain, followed the valley of the Strymon river and advanced as far as Abdera.
anwki;When was Wake Up America Day;April 19, 1917;NUM:date;46582304;Wake Up America Day was celebrated on April 19, 1917 in New York City to coincide with Patriots' Day.
anwki;What is the widest waterfall in North America;Niagara;LOC:other;69442;Niagara Falls are the widest, most powerful falls in North America.
Shallow_Learning;Where is Al-Zaazu located?;north of Raqqa;LOC:city;27443799;Al-Zaazu is a village in northern Syria, administratively part of Raqqa Governorate, located north of Raqqa.
mi-ler;Where is Ak-Kul located?;Kyrgyzstan;LOC:country;16233613;Ak-Kul' is a village in Naryn Region, Kyrgyzstan.
anwki;What year was the Republic of Ireland formed?;1949;NUM:date;46755;Other countries left the Commonwealth, such as Burma in January 1948, Palestine (divided between Israel and the Arab states) in May 1948 and the Republic of Ireland in 1949.
anwki;What is the common name for Selaginella?;the spike-moss;ENTY:other;18967;A current example of how this might have happened can be seen in the precocious spore germination in Selaginella, the spike-moss.
anwki;How high is Ta' Dmejrek?;253 metres;NUM:count;330230;Ta' Dmejrek is the highest point of Malta, located on the Dingli Cliffs, with an elevation of 253 metres (830 ft).
weigelt-greffin;When did the Siege of Kolberg start?;02 March 1807;NUM:date;20460837;The Siege of Kolberg (also known as: Siege of Colberg or Siege of Kołobrzeg) took place from March to 2 July 1807 during the War of the Fourth Coalition, part of the Napoleonic Wars.
anwki;What was the name of Nazi Germany's navy?;Kriegmarine;HUM:gr;728606;German submarine U-47 was a Type VIIB U-boat of Nazi Germany's navy (Kriegsmarine) during World War II.
anwki;What percent of the population are unable to eat unfermented milk-based foods?;Approximately 65 percent;NUM:count;165423;Approximately 65 percent of the adult population produce only small amounts of lactase and are unable to eat unfermented milk-based foods.
anwki;In which city was Cindy Adams born?;New York City;LOC:city;20411372;Born an only child in New York City, Adams was one year old when her parents divorced
pfeifer-lutz;How high is the waterfall Aberdeen Falls?;98 m;NUM:count;19168310;Aberdeen Falls is a picturesque 98 m (322 ft) high waterfall on the Kehelgamu Oya near Ginigathena, in the Nuwara Eliya District of Sri Lanka
Shallow_Learning;How long is the Great Rift Valley?;approximately 6000 kilometers;NUM:count;12800;The Great Rift Valley is a name given to the continuous geographic trench, approximately 6,000 kilometres (3,700 mi) in length, that runs from Lebanon's Beqaa Valley in Asia to Mozambique in South Eastern Africa.
anwki;Where was the initial mention of the Oeselians?;Ptolemy's Geography III;ENTY:cremat;28222445;They were first mentioned as early as the second century BC in Ptolemy's Geography III.
HSRM-Watson;Where is the Oranienplatz located?;Berlin, Germany;LOC:other;50436444;Zietenplatz is a square in Berlin, Germany.
klemenstomki;Where is Haßfurt?;Germany;LOC:city;5508608;Haßfurt (English: Hassfurt) is a town in Bavaria, Germany, capital of the Haßberge district.
anwki;In which province is the Cubillas Reservoir?;Granada;LOC:other;28699020;Cubillas Reservoir is a reservoir in the province of Granada, Andalusia, Spain
anwki;In what country is Ortillo?;Spain;LOC:country;51694116;Ortillo is a village in Murcia, Spain.
HSRM-Watson;What is the Scheiblingstein?;A mountain;ENTY:other;49483684;Scheiblingstein is a mountain in Styria, Austria at an elevation of 1622m high.
anwki;In what country is St. Helen's Gate?;Malta;LOC:country;51685981;St. Helen's Gate (Maltese: Il-Bieb ta' Santa Liena), also known as Porta dei Mortari, is the main gate of the Santa Margherita Lines, located in Cospicua, Malta.
klemenstomki;How many refugees capsized at the 2012 Indian Ocean migrant boat disaster?;more than 200;NUM:count;36210617;The 2012 Indian Ocean migrant boat disaster occurred on 21 June 2012, when a boat carrying more than 200 refugees capsized in the Indian Ocean between the Indonesian island of Java and the Australian external territory of Christmas Island.
HSRM-Watson;When was the Treaty of the Eighteen Articles finalised?;26 June 1831;NUM:date;6057845;It was finalised in London on 26 June 1831. 
HSRM-Watson;In which country is the Merton_College_Chapel located;England;LOC:country;26119592;Merton College Chapel is the church of Merton College, Oxford, England.
anwki;How big must a rock be to be a boulder in cm?;25.6;NUM:count;60784;In geology, a boulder is a rock fragment with size greater than 25.6 centimetres (10.1 in) in diameter.
burkert-henschel;Where was the Esperanza Stone found?;Yaqui, Mexico;LOC:other;30629915;The Esperanza Stone was a large (8-feet long) inscribed stone found in the valley of the Yaqui, Mexico.
anwki;What food makes Joseph Storres Fry and his family?;chocolate;ENTY:food;3303247;J. S. Fry & Sons, Ltd. was a British chocolate company owned by Joseph Storrs Fry and his family.
anwki;What is the world’s spiritual capital of the Shia?;Najaf;LOC:city;200512;It is widely considered the third holiest city of Shia Islam, the Shia world’s spiritual capital and the center of Shi'a political power in Iraq.
anwki;Which is the fifth most populous city in Turkey?;Antalya;LOC:other;361527;Antalya is the fifth most populous city in Turkey and the capital of its eponymous province.
anwki;How many people were buried under rubble in Mianyang City?;1,700;NUM:count;17901805;In Mianyang City, seven schools collapsed, burying at least 1,700 people.
HSRM-Watson;Which continent uses the North American Datum?;North America.;LOC:other;47525682;The North American Datum (NAD) is the datum now used to define the geodetic network in North America.
Suphawit-Noah;Where is Frontal Cordillera?;Argentina;LOC:country;49030101;Frontal Cordillera (Spanish: Cordillera Frontal) is a mountain range in western Argentina that forms part of the Andes.
HSRM-Watson;How tall is the Scheiblingstein?;1622m;NUM:count;49483684;Scheiblingstein is a mountain in Styria, Austria at an elevation of 1622m high.
mi-ler;Into which lake does the Zola River flow?;Lake Urmia;LOC:other;45328565;The Zola River, also known as the Zola Chai is a river in Iran, flowing into Lake Urmia.
anwki;Who directed 'The Nightmare Before Christmas'?;Henry Selick;HUM:ind;403227;The Nightmare Before Christmas, also known as Tim Burton's The Nightmare Before Christmas, is a 1993 American stop-motion animated dark fantasy musical film directed by Henry Selick, and produced and conceived by Tim Burton.
anwki;Who, along with Adam Ferguson, criticized the idea of social contract theorists?;David Hume;HUM:ind;30758;Though much of Enlightenment political thought was dominated by social contract theorists, both David Hume and Adam Ferguson criticized this camp.
heyne-candir;Where is Corluddy Castle?;County Kilkenny;LOC:city;51521226;Corluddy Castle is located in County Kilkenny close to the village of Carrigeen.
anwki;What was the low record for homicides in 2014 in NYC?;328;NUM:count;645042;New York experienced a record low of 328 homicides in 2014 and has a far lower murder rate than other major American cities.
anwki;In which year was 'Apple Lisa' released?;1983;NUM:date;2115;After the release of the Apple Lisa computer in January 1983, Apple invested considerable effort in the development of a local area networking (LAN) system for the machines.
heyne-candir;When was the battle of Praia Bay?;1829;NUM:date;3406504;The Battle of Praia Bay was fought on August 11, 1829, between Portuguese loyalists and a Miguelite fleet.
anwki;How long is an Olympic-size swimming pool?;50m;NUM:count;226434;An Olympic-size swimming pool is the type of swimming pool used in the Olympic Games, where the race course is 50 metres (164.0 ft) in length
HSRM-Watson;In which country is the County_of_Fortescue located? ;Australia;LOC:country;39671431;The County of Fortescue is a county (a cadastral division) in Central Queensland, Queensland, Australia.
anwki;When was Colville Air Force Station closed;1961;NUM:date;30654043;It was closed in 1961.
anwki;what song by marshall jefferson became a big house hit?;Move Your Body;ENTY:cremat;13930;"""One 1986 house tune called """"Move Your Body"""" by Marshall Jefferson, taken from the appropriately titled """"The House Music Anthem"""" EP, became a big hit in Chicago and eventually worldwide."""
anwki;Who represented Oribe's Blancos?;National Party;HUM:gr;38261;"""Politics were divided between Oribe's Blancos (""""whites""""), represented by the National Party, and Rivera's Colorados (""""reds""""), represented by the Colorado Party, with each party's name taken from the colour of its emblems."""
anwki;What bridge were refugees attempting to cross when it was blown up by the South Korean Army?;Han River;LOC:other;16772;On 28 June, at 2 am, the South Korean Army blew up the highway bridge across the Han River in an attempt to stop the North Korean army.
anwki;How many species do exist of Convolvulaceae?;1000;NUM:count;51628;Ipomoea batatas is native to the tropical regions in the Americas.[4][5] Of the approximately 50 genera and more than 1,000 species of Convolvulaceae, I. batatas is the only crop plant of major importance—
anwki;What Greek scientist invented the Pap test?;Georgios Papanikolaou;HUM:ind;12108;"""Notable Greek scientists of modern times include Dimitrios Galanos, Georgios Papanikolaou (inventor of the Pap test), Nicholas Negroponte, Constantin Carathéodory (known for the Carathéodory theorems and Carathéodory conjecture), Manolis Andronikos (discovered the tomb of Philip II of Macedon in Vergina), Michael Dertouzos, John Argyris, Panagiotis Kondylis, John Iliopoulos (2007 Dirac Prize for his contributions on the physics of the charm quark, a major contribution to the birth of the Standard Model, the modern theory of Elementary Particles), Joseph Sifakis (2007 Turing Award, the """"Nobel Prize"""" of Computer Science), Christos Papadimitriou (2002 Knuth Prize, 2012 Gödel Prize), Mihalis Yannakakis (2005 Knuth Prize), Dimitri Nanopoulos and Helene Ahrweiler."""
